! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 15:00:04
! Stimulus(Hz);    S11(Real);         S11(Imag)
3,00000000000E+05;+9,99947440004E-01;-2,30557839083E-04
4,27985000000E+07;+9,98105266979E-01;-6,03327853579E-02
8,52970000000E+07;+9,92670888742E-01;-1,19610059277E-01
1,27795500000E+08;+9,83629035478E-01;-1,78922534916E-01
1,70294000000E+08;+9,71359657942E-01;-2,37062804340E-01
2,12792500000E+08;+9,55396486268E-01;-2,94617732824E-01
2,55291000000E+08;+9,35653195988E-01;-3,51193469791E-01
2,97789500000E+08;+9,13063386741E-01;-4,06788114454E-01
3,40288000000E+08;+8,87071824906E-01;-4,60482322521E-01
3,82786500000E+08;+8,57338733693E-01;-5,12718359951E-01
4,25285000000E+08;+8,24215019881E-01;-5,63582921985E-01
4,67783500000E+08;+7,89042248506E-01;-6,11993567004E-01
5,10282000000E+08;+7,50214553714E-01;-6,58988637786E-01
5,52780500000E+08;+7,07816135369E-01;-7,03388404495E-01
5,95279000000E+08;+6,63618565190E-01;-7,44967165173E-01
6,37777500000E+08;+6,16441731711E-01;-7,83984176040E-01
6,80276000000E+08;+5,66432620342E-01;-8,20284631772E-01
7,22774500000E+08;+5,14579536265E-01;-8,53355277454E-01
7,65273000000E+08;+4,60523797678E-01;-8,83522925532E-01
8,07771500000E+08;+4,03512215980E-01;-9,10234547560E-01
8,50270000000E+08;+3,45405524114E-01;-9,33442109215E-01
8,92768500000E+08;+2,86583177178E-01;-9,52930282125E-01
9,35267000000E+08;+2,24643125657E-01;-9,68770461740E-01
9,77765500000E+08;+1,61646444273E-01;-9,80578752869E-01
1,02026400000E+09;+9,93013520877E-02;-9,88810262956E-01
1,06276250000E+09;+3,50511959387E-02;-9,92693866368E-01
1,10526100000E+09;-3,05261424346E-02;-9,91664517017E-01
1,14775950000E+09;-9,48026059651E-02;-9,87565164908E-01
1,19025800000E+09;-1,59573102480E-01;-9,79035848776E-01
1,23275650000E+09;-2,24555771877E-01;-9,65478451036E-01
1,27525500000E+09;-2,88432182200E-01;-9,47399217464E-01
