! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 14:49:08
! Stimulus(Hz);    S11(SWR)
3,00000000000E+05;+8,38298934328E+02
4,27985000000E+07;+6,87088300000E+02
8,52970000000E+07;+1,85128380178E+02
1,27795500000E+08;+1,08357041109E+02
1,70294000000E+08;+1,17365862592E+02
2,12792500000E+08;+1,13082175573E+02
2,55291000000E+08;+7,94748799373E+01
2,97789500000E+08;+6,64232485165E+01
3,40288000000E+08;+7,19008729205E+01
3,82786500000E+08;+6,77619535331E+01
4,25285000000E+08;+5,47211367435E+01
4,67783500000E+08;+5,17629225982E+01
5,10282000000E+08;+5,38443714118E+01
5,52780500000E+08;+4,98804944521E+01
5,95279000000E+08;+4,47259244194E+01
6,37777500000E+08;+4,32258159125E+01
6,80276000000E+08;+4,33366332594E+01
7,22774500000E+08;+4,17429248957E+01
7,65273000000E+08;+3,81356477000E+01
8,07771500000E+08;+3,62562269138E+01
8,50270000000E+08;+3,80731044287E+01
8,92768500000E+08;+3,68608217685E+01
9,35267000000E+08;+3,23054006081E+01
9,77765500000E+08;+3,22320605555E+01
1,02026400000E+09;+3,48380330588E+01
1,06276250000E+09;+3,13601762798E+01
1,10526100000E+09;+2,84922843620E+01
1,14775950000E+09;+3,07737029154E+01
1,19025800000E+09;+3,11773313251E+01
1,23275650000E+09;+2,72094049760E+01
1,27525500000E+09;+2,72273731779E+01
1,31775350000E+09;+2,89922948112E+01
1,36025200000E+09;+2,71253261278E+01
1,40275050000E+09;+2,55972420157E+01
1,44524900000E+09;+2,61340057696E+01
1,48774750000E+09;+2,59968426014E+01
1,53024600000E+09;+2,54408409130E+01
1,57274450000E+09;+2,50060935502E+01
1,61524300000E+09;+2,37893962267E+01
1,65774150000E+09;+2,41494663777E+01
1,70024000000E+09;+2,51854283451E+01
1,74273850000E+09;+2,29800061535E+01
1,78523700000E+09;+2,19130223798E+01
1,82773550000E+09;+2,40641011115E+01
1,87023400000E+09;+2,36808843562E+01
1,91273250000E+09;+2,08718679757E+01
1,95523100000E+09;+2,17696024126E+01
1,99772950000E+09;+2,36377351299E+01
2,04022800000E+09;+2,12131421730E+01
2,08272650000E+09;+1,99369676934E+01
2,12522500000E+09;+2,15765873219E+01
2,16772350000E+09;+2,12251163973E+01
2,21022200000E+09;+1,97279518248E+01
2,25272050000E+09;+1,95568537122E+01
2,29521900000E+09;+1,92204989003E+01
2,33771750000E+09;+1,87669664119E+01
2,38021600000E+09;+1,80774035915E+01
2,42271450000E+09;+1,60889470597E+01
2,46521300000E+09;+1,49294161023E+01
2,50771150000E+09;+1,38093381151E+01
2,55021000000E+09;+1,02376436798E+01
2,59270850000E+09;+6,87484925239E+00
2,63520700000E+09;+3,76607193972E+00
2,67770550000E+09;+2,20967924097E+00
2,72020400000E+09;+4,21928060402E+00
2,76270250000E+09;+6,81360218769E+00
2,80520100000E+09;+9,50024510016E+00
2,84769950000E+09;+1,04407240078E+01
2,89019800000E+09;+9,26204457068E+00
2,93269650000E+09;+8,07632264146E+00
2,97519500000E+09;+7,32937123825E+00
3,01769350000E+09;+5,75987717310E+00
3,06019200000E+09;+4,59466794898E+00
3,10269050000E+09;+3,84915153645E+00
3,14518900000E+09;+3,52264860879E+00
3,18768750000E+09;+3,51717668133E+00
3,23018600000E+09;+3,29033889982E+00
3,27268450000E+09;+3,15941156845E+00
3,31518300000E+09;+3,16404970217E+00
3,35768150000E+09;+2,72047425910E+00
3,40018000000E+09;+2,26655412649E+00
3,44267850000E+09;+2,02609677410E+00
3,48517700000E+09;+1,71194031522E+00
3,52767550000E+09;+1,37505323099E+00
3,57017400000E+09;+1,24806756893E+00
3,61267250000E+09;+1,16104396316E+00
3,65517100000E+09;+1,08555782541E+00
3,69766950000E+09;+1,04115080152E+00
3,74016800000E+09;+1,07258840291E+00
3,78266650000E+09;+1,06171335881E+00
3,82516500000E+09;+1,06629254794E+00
3,86766350000E+09;+1,12881120194E+00
3,91016200000E+09;+1,16276256363E+00
3,95266050000E+09;+1,14368139984E+00
3,99515900000E+09;+1,17512496014E+00
4,03765750000E+09;+1,15643102338E+00
4,08015600000E+09;+1,13457125616E+00
4,12265450000E+09;+1,17410434578E+00
4,16515300000E+09;+1,17314920680E+00
4,20765150000E+09;+1,18923897503E+00
4,25015000000E+09;+1,23783430929E+00
4,29264850000E+09;+1,22811803126E+00
4,33514700000E+09;+1,22690231268E+00
4,37764550000E+09;+1,22633280637E+00
4,42014400000E+09;+1,21317978660E+00
4,46264250000E+09;+1,17481272663E+00
4,50514100000E+09;+1,18401442188E+00
4,54763950000E+09;+1,16548732870E+00
4,59013800000E+09;+1,18680144695E+00
4,63263650000E+09;+1,18165895696E+00
4,67513500000E+09;+1,18083316864E+00
4,71763350000E+09;+1,22213608360E+00
4,76013200000E+09;+1,22537420200E+00
4,80263050000E+09;+1,16700827305E+00
4,84512900000E+09;+1,13389460783E+00
4,88762750000E+09;+1,14207100076E+00
4,93012600000E+09;+1,17968917913E+00
4,97262450000E+09;+1,26269130880E+00
5,01512300000E+09;+1,37274763505E+00
5,05762150000E+09;+1,43242788129E+00
5,10012000000E+09;+1,40512804650E+00
5,14261850000E+09;+1,36246184793E+00
5,18511700000E+09;+1,31707733412E+00
5,22761550000E+09;+1,22191479421E+00
5,27011400000E+09;+1,14736629989E+00
5,31261250000E+09;+1,11471794605E+00
5,35511100000E+09;+1,10194536915E+00
5,39760950000E+09;+1,08287067778E+00
5,44010800000E+09;+1,10060938411E+00
5,48260650000E+09;+1,15564814506E+00
5,52510500000E+09;+1,14520917159E+00
5,56760350000E+09;+1,14965563684E+00
5,61010200000E+09;+1,20636170425E+00
5,65260050000E+09;+1,19795848276E+00
5,69509900000E+09;+1,15592765027E+00
5,73759750000E+09;+1,16887163408E+00
5,78009600000E+09;+1,20873837115E+00
5,82259450000E+09;+1,22072937152E+00
5,86509300000E+09;+1,22809802020E+00
5,90759150000E+09;+1,24525870924E+00
5,95009000000E+09;+1,30638096253E+00
5,99258850000E+09;+1,37893773869E+00
6,03508700000E+09;+1,41983721063E+00
6,07758550000E+09;+1,49351903874E+00
6,12008400000E+09;+1,70724928978E+00
6,16258250000E+09;+1,93169308361E+00
6,20508100000E+09;+2,15884122625E+00
6,24757950000E+09;+2,66880998301E+00
6,29007800000E+09;+3,52679946237E+00
6,33257650000E+09;+3,94895129650E+00
6,37507500000E+09;+3,80684517445E+00
6,41757350000E+09;+3,76197170739E+00
6,46007200000E+09;+3,35719093602E+00
6,50257050000E+09;+2,85015284346E+00
6,54506900000E+09;+2,72360397123E+00
6,58756750000E+09;+2,63056949265E+00
6,63006600000E+09;+2,42039420131E+00
6,67256450000E+09;+2,17855588520E+00
6,71506300000E+09;+2,09932367043E+00
6,75756150000E+09;+2,19159896135E+00
6,80006000000E+09;+2,26091308659E+00
6,84255850000E+09;+2,13050449428E+00
6,88505700000E+09;+2,10943626837E+00
6,92755550000E+09;+2,29081983861E+00
6,97005400000E+09;+2,59230719942E+00
7,01255250000E+09;+4,11808891889E+00
7,05505100000E+09;+2,21874191089E+00
7,09754950000E+09;+2,06379929526E+00
7,14004800000E+09;+1,81216094582E+00
7,18254650000E+09;+1,68040660802E+00
7,22504500000E+09;+1,75838703073E+00
7,26754350000E+09;+1,78636562435E+00
7,31004200000E+09;+1,68682845340E+00
7,35254050000E+09;+1,57518758236E+00
7,39503900000E+09;+1,53117650780E+00
7,43753750000E+09;+1,48639471842E+00
7,48003600000E+09;+1,29219949643E+00
7,52253450000E+09;+1,11116557918E+00
7,56503300000E+09;+1,11414804160E+00
7,60753150000E+09;+1,09831100276E+00
7,65003000000E+09;+1,17074472705E+00
7,69252850000E+09;+1,12223720798E+00
7,73502700000E+09;+1,11380669659E+00
7,77752550000E+09;+1,19430707891E+00
7,82002400000E+09;+1,13531745855E+00
7,86252250000E+09;+1,04668535555E+00
7,90502100000E+09;+1,07769336978E+00
7,94751950000E+09;+1,14846256725E+00
7,99001800000E+09;+1,06155875589E+00
8,03251650000E+09;+1,01627429883E+00
8,07501500000E+09;+1,07026534413E+00
8,11751350000E+09;+1,09825231921E+00
8,16001200000E+09;+1,10849605021E+00
8,20251050000E+09;+1,24738481616E+00
8,24500900000E+09;+1,26580240774E+00
8,28750750000E+09;+1,16984268619E+00
8,33000600000E+09;+1,19978950618E+00
8,37250450000E+09;+1,28169539451E+00
8,41500300000E+09;+1,27091720637E+00
8,45750150000E+09;+1,17770800445E+00
8,50000000000E+09;+1,30357249479E+00
