! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 15:02:27
! Stimulus(Hz);    S11(Real);         S11(Imag)
3,00000000000E+05;+9,99856252080E-01;+3,57184346219E-04
4,27985000000E+07;+9,99724483982E-01;+5,17202225717E-03
8,52970000000E+07;+9,99796600362E-01;+1,04659850824E-02
1,27795500000E+08;+9,99801214511E-01;+1,55613278492E-02
1,70294000000E+08;+9,99615003768E-01;+2,09720801771E-02
2,12792500000E+08;+9,99741135944E-01;+2,63623959017E-02
2,55291000000E+08;+9,99752185629E-01;+3,14115034938E-02
2,97789500000E+08;+9,99348845656E-01;+3,67413620612E-02
3,40288000000E+08;+9,99432189756E-01;+4,25940685318E-02
3,82786500000E+08;+9,99301901685E-01;+4,75714802033E-02
4,25285000000E+08;+9,98869963371E-01;+5,27139692592E-02
4,67783500000E+08;+9,98712058191E-01;+5,82716426802E-02
5,10282000000E+08;+9,98950466895E-01;+6,37107510786E-02
5,52780500000E+08;+9,98889490378E-01;+6,84893951205E-02
5,95279000000E+08;+9,98373455838E-01;+7,39871256866E-02
6,37777500000E+08;+9,98300515958E-01;+7,95185219792E-02
6,80276000000E+08;+9,98194911697E-01;+8,41775801431E-02
7,22774500000E+08;+9,97814996233E-01;+8,96372109882E-02
7,65273000000E+08;+9,97742396259E-01;+9,52782686262E-02
8,07771500000E+08;+9,97711122994E-01;+1,00116392568E-01
8,50270000000E+08;+9,97562583165E-01;+1,04451413078E-01
8,92768500000E+08;+9,96975463171E-01;+1,10102571028E-01
9,35267000000E+08;+9,96985336451E-01;+1,15792280093E-01
9,77765500000E+08;+9,96881060767E-01;+1,19986674372E-01
1,02026400000E+09;+9,96199002648E-01;+1,24987359188E-01
1,06276250000E+09;+9,96210001410E-01;+1,30903159145E-01
1,10526100000E+09;+9,96020113845E-01;+1,35383895607E-01
1,14775950000E+09;+9,95756192789E-01;+1,40171642390E-01
1,19025800000E+09;+9,94886513974E-01;+1,45679219986E-01
1,23275650000E+09;+9,95090676878E-01;+1,50927484608E-01
1,27525500000E+09;+9,94540705626E-01;+1,55046534805E-01
1,31775350000E+09;+9,93800005144E-01;+1,60346382769E-01
1,36025200000E+09;+9,93768928488E-01;+1,66078953114E-01
1,40275050000E+09;+9,93489223485E-01;+1,69894865805E-01
1,44524900000E+09;+9,92724359430E-01;+1,75014825302E-01
1,48774750000E+09;+9,92142428908E-01;+1,81066234957E-01
1,53024600000E+09;+9,91835682232E-01;+1,85332217686E-01
1,57274450000E+09;+9,91219014141E-01;+1,89289020747E-01
1,61524300000E+09;+9,90277404674E-01;+1,94811399003E-01
1,65774150000E+09;+9,89699971697E-01;+2,00614493384E-01
1,70024000000E+09;+9,89157199363E-01;+2,04156473280E-01
1,74273850000E+09;+9,87977564263E-01;+2,08910205662E-01
1,78523700000E+09;+9,87594468789E-01;+2,15254337695E-01
1,82773550000E+09;+9,86960350755E-01;+2,18847788669E-01
1,87023400000E+09;+9,85712927722E-01;+2,23428033276E-01
1,91273250000E+09;+9,84945720269E-01;+2,29648367886E-01
1,95523100000E+09;+9,84060030136E-01;+2,33804222308E-01
1,99772950000E+09;+9,83348066896E-01;+2,37943603779E-01
2,04022800000E+09;+9,81737374289E-01;+2,43372577432E-01
2,08272650000E+09;+9,80892586215E-01;+2,48909511886E-01
2,12522500000E+09;+9,80304165869E-01;+2,52865768865E-01
2,16772350000E+09;+9,78264934729E-01;+2,57625233977E-01
2,21022200000E+09;+9,77100929337E-01;+2,63658040493E-01
2,25272050000E+09;+9,76674191362E-01;+2,67796643053E-01
2,29521900000E+09;+9,74778096797E-01;+2,71899165822E-01
2,33771750000E+09;+9,73577643889E-01;+2,77832206795E-01
2,38021600000E+09;+9,72072391693E-01;+2,82758894888E-01
2,42271450000E+09;+9,70757122429E-01;+2,86799941208E-01
2,46521300000E+09;+9,69232889837E-01;+2,91576624953E-01
2,50771150000E+09;+9,67230180129E-01;+2,97378704829E-01
2,55021000000E+09;+9,66227885789E-01;+3,01686088024E-01
2,59270850000E+09;+9,64457216277E-01;+3,06186355304E-01
2,63520700000E+09;+9,62509528801E-01;+3,12183624609E-01
2,67770550000E+09;+9,60918912610E-01;+3,16296357345E-01
2,72020400000E+09;+9,58983176420E-01;+3,20273872777E-01
2,76270250000E+09;+9,57522404947E-01;+3,26550316119E-01
2,80520100000E+09;+9,55751173899E-01;+3,31044722485E-01
2,84769950000E+09;+9,53345764537E-01;+3,35911986455E-01
2,89019800000E+09;+9,51508603852E-01;+3,39923798693E-01
2,93269650000E+09;+9,49697501697E-01;+3,45758260652E-01
2,97519500000E+09;+9,47403047127E-01;+3,51195175387E-01
3,01769350000E+09;+9,44985055513E-01;+3,54115682443E-01
3,06019200000E+09;+9,43391662093E-01;+3,60062672131E-01
3,10269050000E+09;+9,41476473856E-01;+3,64742896596E-01
3,14518900000E+09;+9,38382483430E-01;+3,68997790976E-01
3,18768750000E+09;+9,37023148124E-01;+3,73741017532E-01
3,23018600000E+09;+9,34567562786E-01;+3,78036477649E-01
3,27268450000E+09;+9,32486992957E-01;+3,84014001609E-01
3,31518300000E+09;+9,30422705308E-01;+3,88267336260E-01
3,35768150000E+09;+9,27785723256E-01;+3,92804109076E-01
3,40018000000E+09;+9,25394712343E-01;+3,97618592357E-01
3,44267850000E+09;+9,23246766299E-01;+4,02166218478E-01
3,48517700000E+09;+9,21065347409E-01;+4,07180726983E-01
3,52767550000E+09;+9,17796451420E-01;+4,11556986162E-01
3,57017400000E+09;+9,16110050990E-01;+4,15245135357E-01
3,61267250000E+09;+9,14339879966E-01;+4,19970879726E-01
3,65517100000E+09;+9,10995365681E-01;+4,24946478571E-01
3,69766950000E+09;+9,08634240107E-01;+4,29572549979E-01
3,74016800000E+09;+9,06801439822E-01;+4,33251259160E-01
3,78266650000E+09;+9,04215580093E-01;+4,38384812353E-01
3,82516500000E+09;+9,01359108366E-01;+4,42986758685E-01
3,86766350000E+09;+8,99191640316E-01;+4,46720106556E-01
3,91016200000E+09;+8,96790899831E-01;+4,51752007217E-01
3,95266050000E+09;+8,94080837253E-01;+4,56740127111E-01
3,99515900000E+09;+8,91445073292E-01;+4,59935119397E-01
4,03765750000E+09;+8,89306348030E-01;+4,64745827992E-01
4,08015600000E+09;+8,86820805031E-01;+4,69573138295E-01
4,12265450000E+09;+8,84258136442E-01;+4,72824854816E-01
4,16515300000E+09;+8,82539706699E-01;+4,76651346422E-01
4,20765150000E+09;+8,80129213349E-01;+4,81422209492E-01
4,25015000000E+09;+8,77569727284E-01;+4,84374779021E-01
4,29264850000E+09;+8,75257094952E-01;+4,87320233806E-01
4,33514700000E+09;+8,73532787960E-01;+4,92407261259E-01
4,37764550000E+09;+8,70438234211E-01;+4,95588914239E-01
4,42014400000E+09;+8,68119857840E-01;+4,97988308616E-01
4,46264250000E+09;+8,66854210589E-01;+5,02598493558E-01
4,50514100000E+09;+8,64333667957E-01;+5,06400545601E-01
4,54763950000E+09;+8,61300329193E-01;+5,08357363222E-01
4,59013800000E+09;+8,59875281366E-01;+5,12106697588E-01
4,63263650000E+09;+8,58031485134E-01;+5,16489859223E-01
4,67513500000E+09;+8,55203058053E-01;+5,18823991649E-01
4,71763350000E+09;+8,53752842680E-01;+5,21204948222E-01
4,76013200000E+09;+8,51928100019E-01;+5,24972224814E-01
4,80263050000E+09;+8,49144699001E-01;+5,28997715086E-01
4,84512900000E+09;+8,46398435889E-01;+5,31502497575E-01
4,88762750000E+09;+8,45331826754E-01;+5,34821011179E-01
4,93012600000E+09;+8,43169681158E-01;+5,37728411969E-01
4,97262450000E+09;+8,40480049707E-01;+5,40375449838E-01
5,01512300000E+09;+8,38495779361E-01;+5,43369486513E-01
5,05762150000E+09;+8,37732478909E-01;+5,46039554795E-01
5,10012000000E+09;+8,35078127512E-01;+5,48059925979E-01
5,14261850000E+09;+8,32846268517E-01;+5,50784788600E-01
5,18511700000E+09;+8,32184184014E-01;+5,54125648736E-01
5,22761550000E+09;+8,29970652129E-01;+5,55916980107E-01
5,27011400000E+09;+8,27245821620E-01;+5,58053097139E-01
5,31261250000E+09;+8,26209958595E-01;+5,60796036492E-01
5,35511100000E+09;+8,25184451566E-01;+5,62604840877E-01
5,39760950000E+09;+8,22193722276E-01;+5,64099700842E-01
5,44010800000E+09;+8,19566606276E-01;+5,66966184454E-01
5,48260650000E+09;+8,18407082988E-01;+5,69120670917E-01
5,52510500000E+09;+8,16253532809E-01;+5,70544457850E-01
5,56760350000E+09;+8,13390199157E-01;+5,71907390003E-01
