! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 14:59:47
! Stimulus(Hz);    S22(Real);         S22(Imag)
3,00000000000E+05;+9,99265982227E-01;-1,12290462792E-02
4,27985000000E+07;-7,33331105471E-02;-9,96831410187E-01
8,52970000000E+07;-9,80924327223E-01;+9,97090042960E-02
1,27795500000E+08;+1,20743070603E-01;+9,71277231190E-01
1,70294000000E+08;+9,66707828000E-01;-1,64798331863E-01
2,12792500000E+08;-2,14699532612E-01;-9,55989052939E-01
2,55291000000E+08;-9,40354373129E-01;+2,44871510101E-01
2,97789500000E+08;+2,59685798697E-01;+9,31948443163E-01
3,40288000000E+08;+9,24641525200E-01;-2,94875110649E-01
3,82786500000E+08;-3,51658167564E-01;-9,01700898135E-01
4,25285000000E+08;-8,81402076107E-01;+3,81769754801E-01
4,67783500000E+08;+3,87744283332E-01;+8,77848296090E-01
5,10282000000E+08;+8,62390802762E-01;-4,24481344082E-01
5,52780500000E+08;-4,82805733554E-01;-8,26852744854E-01
5,95279000000E+08;-8,06503351901E-01;+5,07906440817E-01
6,37777500000E+08;+5,16754109768E-01;+7,99782137256E-01
6,80276000000E+08;+7,75864737979E-01;-5,52353276353E-01
7,22774500000E+08;-5,98340298123E-01;-7,37803248306E-01
7,65273000000E+08;-7,10819104889E-01;+6,23441890936E-01
8,07771500000E+08;+6,39272837272E-01;+6,94127984102E-01
8,50270000000E+08;+6,73477596518E-01;-6,64651746141E-01
8,92768500000E+08;-7,01694870059E-01;-6,30938060891E-01
9,35267000000E+08;-5,83173704089E-01;+7,32044037370E-01
9,77765500000E+08;+7,45245330845E-01;+5,68217849930E-01
1,02026400000E+09;+5,54874984464E-01;-7,61274188930E-01
1,06276250000E+09;-7,94768015142E-01;-4,90435701460E-01
1,10526100000E+09;-4,33614962474E-01;+8,20326624223E-01
1,14775950000E+09;+8,28157480437E-01;+4,33311821181E-01
1,19025800000E+09;+4,08505550389E-01;-8,40904565465E-01
1,23275650000E+09;-8,64367724859E-01;-3,27011417809E-01
1,27525500000E+09;-2,81648042598E-01;+8,80788421707E-01
1,31775350000E+09;+8,88185373423E-01;+2,76890729914E-01
1,36025200000E+09;+2,33500580844E-01;-8,95372736905E-01
1,40275050000E+09;-9,04692243568E-01;-1,62277247888E-01
1,44524900000E+09;-1,19441243767E-01;+9,13604429274E-01
1,48774750000E+09;+9,17706316078E-01;+9,44442458481E-02
1,53024600000E+09;+6,15132004214E-02;-9,18120836968E-01
1,57274450000E+09;-9,17134358110E-01;-4,71923297103E-03
1,61524300000E+09;+6,19900561816E-02;+9,11552889826E-01
1,65774150000E+09;+9,12004524011E-01;-9,16105443658E-02
1,70024000000E+09;-1,08628438928E-01;-9,12450610041E-01
1,74273850000E+09;-8,91865730484E-01;+1,79656058292E-01
1,78523700000E+09;+2,55878163882E-01;+8,69736907898E-01
1,82773550000E+09;+8,76752441279E-01;-2,65483371996E-01
1,87023400000E+09;-2,81323491571E-01;-8,69525439990E-01
1,91273250000E+09;-8,23936264837E-01;+3,64524620591E-01
1,95523100000E+09;+4,27628089506E-01;+7,98129351691E-01
1,99772950000E+09;+8,03394911285E-01;-4,35921624177E-01
2,04022800000E+09;-4,65435065702E-01;-7,75383480705E-01
2,08272650000E+09;-7,21195290255E-01;+5,33400669591E-01
2,12522500000E+09;+5,82839519148E-01;+6,92055825843E-01
2,16772350000E+09;+6,75678106158E-01;-6,03376856264E-01
2,21022200000E+09;-6,27698912357E-01;-6,43033460367E-01
2,25272050000E+09;-5,89542294890E-01;+6,75643031646E-01
2,29521900000E+09;+7,23770647485E-01;+5,30487146655E-01
2,33771750000E+09;+4,98859313774E-01;-7,47101893413E-01
2,38021600000E+09;-7,63233375381E-01;-4,70520019412E-01
2,42271450000E+09;-3,87468386966E-01;+7,99318147575E-01
2,46521300000E+09;+8,36268393783E-01;+2,97981494451E-01
2,50771150000E+09;+2,74934880480E-01;-8,51323965533E-01
2,55021000000E+09;-8,55744831856E-01;-2,32289806893E-01
2,59270850000E+09;-1,10607630588E-01;+8,66331508162E-01
2,63520700000E+09;+8,78480226248E-01;+2,14347782610E-02
2,67770550000E+09;-6,62418413064E-03;-8,80219181758E-01
2,72020400000E+09;-8,58199112509E-01;+8,31296590256E-02
2,76270250000E+09;+2,12606444064E-01;+8,26081504985E-01
2,80520100000E+09;+8,00529563060E-01;-3,00953009997E-01
2,84769950000E+09;-3,57596409700E-01;-7,59832857154E-01
2,89019800000E+09;-6,81542925968E-01;+4,40517655632E-01
2,93269650000E+09;+5,35693504899E-01;+5,77752646026E-01
2,97519500000E+09;+4,77918094053E-01;-5,86795601060E-01
3,01769350000E+09;-5,93747686289E-01;-3,80385177889E-01
3,06019200000E+09;-2,61317218595E-01;+5,77884595425E-01
3,10269050000E+09;+5,65542598112E-01;+1,40201746092E-01
3,14518900000E+09;+6,76997478607E-02;-5,41908157331E-01
3,18768750000E+09;-4,88549006818E-01;-2,89369036218E-02
3,23018600000E+09;+4,24017860433E-02;+4,22198522802E-01
3,27268450000E+09;+3,79903015592E-01;-1,05549260537E-01
3,31518300000E+09;-1,33514775125E-01;-3,56184251566E-01
3,35768150000E+09;-2,95514043515E-01;+1,41521606587E-01
3,40018000000E+09;+1,87257731052E-01;+2,19465666226E-01
3,44267850000E+09;+1,52055123332E-01;-2,20287604750E-01
3,48517700000E+09;-1,95745295184E-01;-1,10933555333E-01
3,52767550000E+09;-4,33587422651E-02;+1,60545191225E-01
3,57017400000E+09;+1,26060984642E-01;-9,48268583017E-03
3,61267250000E+09;-1,89298831344E-02;-1,05521151395E-01
3,65517100000E+09;-7,59521026773E-02;-8,75765601639E-04
