Distance (m),Rx (dBm) (Tx = 20 dBm),30 deg,60 deg,90 deg
40,-48.2,,,
39,-48.1,,,
38,-51.3,,,
37,-54.8,,,
36,-57.2,,,
35,-54.5,,,
34,-53,,,
33,-47.6,,,
32,-47.3,,,
31,-43.8,,,
30,-43.4,,,
29,-41,-42.4,-45.8,-68
28,-41.9,,,
27,-42.8,,,
26,-44,,,
25,-47.6,,,
24,-49.6,,,
23,-50.6,,,
22,-45.1,,,
21,-41.6,,,
20,-41.3,,,
19,-43,,,
18,-46.7,,,
17,-45.7,,,
16,-41.3,,,
15,-41.7,,,
14,-42.8,,,-66
13,-35.6,,,
12,-38.7,,,
11,-33.9,,,
10,-36.6,,,
9,-34.4,,,-70
8,-32.7,,,
7,-32,,,
6,-30.5,,,
5,-29,,,
4,-26.8,-28.6,-32,-64
3,,,,
2,,,,
1,,,,
